Model                                        Precision  Chipset  Backend  SOC
Whisper-medium                               FP16       qcs8550  QNN2.40  Qualcomm QCS8550
Whisper-medium.en                            FP16       qcs8550  QNN2.40  Qualcomm QCS8550
Whisper-small                                FP16       qcs8550  QNN2.40  Qualcomm QCS8550
Whisper-small                                W8A16      qcs8550  QNN2.40  Qualcomm QCS8550
Whisper-small.en                             FP16       qcs8550  QNN2.40  Qualcomm QCS8550
Whisper-tiny                                 FP16       qcs8550  QNN2.40  Qualcomm QCS8550
Whisper-tiny.en                              FP16       qcs8550  QNN2.40  Qualcomm QCS8550
WideResNet101                                FP16       qcs8550  QNN2.36  Qualcomm QCS8550
WideResNet101                                W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
WideResNet50                                 FP16       qcs8550  QNN2.36  Qualcomm QCS8550
WideResNet50                                 INT8       qcs8550  QNN2.36  Qualcomm QCS8550
WideResNet50                                 W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
XLSR (Extreme Lightweight Super Resolution)  INT8       qcs8550  QNN2.31  Qualcomm QCS8550
XLSR (Extreme Lightweight Super Resolution)  W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
XLSR (Extreme Lightweight Super Resolution)  FP16       qcs8550  QNN2.31  Qualcomm QCS8550
YamNet                                       FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11l-obb                                  FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11l-obb                                  INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11l-obb                                  W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11l-Pose                                 W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11l-Pose                                 FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11m-obb                                  FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11m-obb                                  INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11m-obb                                  W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11m-Pose                                 W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11m-Pose                                 FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11n-obb                                  FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11n-obb                                  INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11n-obb                                  W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11n-Pose                                 W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11n-Pose                                 FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11s-Pose                                 INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11s-Pose                                 W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11s-Pose                                 FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11x-obb                                  FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11x-obb                                  INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11x-obb                                  W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11x-Pose                                 W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11x-Pose                                 FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO12-l                                     W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
YOLO12-l                                     FP16       qcs8550  QNN2.31  Qualcomm QCS8550
YOLO12-l                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO12-m                                     W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
YOLO12-m                                     FP16       qcs8550  QNN2.31  Qualcomm QCS8550
YOLO12-m                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO12-n                                     W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
YOLO12-n                                     FP16       qcs8550  QNN2.31  Qualcomm QCS8550
YOLO12-n                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO12-s                                     W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
YOLO12-s                                     FP16       qcs8550  QNN2.31  Qualcomm QCS8550
YOLO12-s                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO12-x                                     W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
YOLO12-x                                     FP16       qcs8550  QNN2.31  Qualcomm QCS8550
YOLO12-x                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26l                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26l                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26l                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26m                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26m                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26m                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26n                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26n                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26n                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26s                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26s                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26s                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26x                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26x                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO26x                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO-NAS-l                                   FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO-NAS-l                                   INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO-NAS-l                                   W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO-NAS-m                                   FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO-NAS-m                                   INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO-NAS-m                                   W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLO-NAS-s                                   FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO-NAS-s                                   INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO-NAS-s                                   W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOR-P6                                     FP16       qcs8550  QNN2.41  Qualcomm QCS8550
YOLOv10b                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10b                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10b                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10l                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10l                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10l                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10m                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10m                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10m                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10n                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10n                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10n                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10s                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10s                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10s                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10x                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10x                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv10x                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11l                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11l                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11l                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11m                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11m                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11m                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11n                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11n                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11n                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11s                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11s                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11s                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11x                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11x                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv11x                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-L                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-L                                    INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-L                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-N                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-N                                    INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-N                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-S                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-S                                    INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-S                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-X                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-X                                    INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv13-X                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5l                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5l                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5l                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5m                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5m                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5m                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5n                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5n                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5n                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5n-seg                                  FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5n-seg                                  INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5n-seg                                  W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5s                                      FP16       qcs8550  QNN2.40  Qualcomm QCS8550
YOLOv5s                                      INT8       qcs8550  QNN2.40  Qualcomm QCS8550
YOLOv5s                                      W8A16      qcs8550  QNN2.40  Qualcomm QCS8550
YOLOv5s-seg                                  FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5s-seg                                  INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5s-seg                                  W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5x                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5x                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv5x                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6l                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6l                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6l                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6m                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6m                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6m                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6n                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6n                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6n                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6s                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6s                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6s                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv6s6                                     FP16       qcs8550  QNN2.31  Qualcomm QCS8550
YOLOv7                                       FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv7                                       INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv7                                       W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8m                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8m                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8m                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8n                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8n                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8n                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8s                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8s                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8s                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8s-Segmentation                         INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8s-Segmentation                         W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8s-Segmentation                         FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOX-s                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOX-s                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
π₀                                           FP16       qcs8550  QNN2.36  Qualcomm QCS8550
