Model                                        Precision  Chipset  Backend  SOC
ESRGAN                                       W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
Facial-Attribute-Detection                   INT8       qcs8550  QNN2.31  Qualcomm QCS8550
Facial-Attribute-Detection                   W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
Facial-Landmark-Detection                    INT8       qcs8550  QNN2.31  Qualcomm QCS8550
Facial-Landmark-Detection                    W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
Facial-Landmark-Detection                    FP16       qcs8550  QNN2.31  Qualcomm QCS8550
Falcon3-7B-Instruct                          W4A16      qcs8550  QNN2.38  Qualcomm QCS8550
FastSAM-S                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
FastSAM-S                                    INT8       qcs8550  QNN2.36  Qualcomm QCS8550
FastSAM-S                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
FastSAM-X                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
FastSAM-X                                    INT8       qcs8550  QNN2.36  Qualcomm QCS8550
FastSAM-X                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
FCN-ResNet50                                 FP16       qcs8550  QNN2.36  Qualcomm QCS8550
FCN-ResNet50                                 INT8       qcs8550  QNN2.36  Qualcomm QCS8550
FCN-ResNet50                                 W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
FFNet-122NS-LowRes                           INT8       qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-122NS-LowRes                           FP16       qcs8550  QNN2.23  Qualcomm QCS8550
FFNet-122NS-LowRes                           W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
FFNet-150S                                   INT8       qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-150S                                   W8A16      qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-150S                                   FP16       qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-18                                     W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
FFNet-18                                     INT8       qcs8550  QNN2.31  Qualcomm QCS8550
FFNet-18                                     FP16       qcs8550  QNN2.31  Qualcomm QCS8550
FFNet-40S                                    INT8       qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-40S                                    W8A16      qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-40S                                    FP16       qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-54S                                    INT8       qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-54S                                    W8A16      qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-54S                                    FP16       qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-74NS                                   INT8       qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-78S                                    W8A16      qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-78S                                    INT8       qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-78S                                    FP16       qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-78S-LowRes                             INT8       qcs8550  QNN2.16  Qualcomm QCS8550
FFNet-78S-LowRes                             FP16       qcs8550  QNN2.23  Qualcomm QCS8550
FlashOCC                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
FlashOCC                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
FoundationPose                               W8A16      qcs8550  QNN2.40  Qualcomm QCS8550
Gemma-2-2B-it                                W4A16      qcs8550  QNN2.29  Qualcomm QCS8550
gemma-3-1b-it                                W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
gemma-3-4b-it                                W4A16      qcs8550  QNN2.40  Qualcomm QCS8550
Gemma-4-E4B-it (text-only)                   W4A16      qcs8550  QNN2.48  Qualcomm QCS8550
GoogLeNet                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
GoogLeNet                                    INT8       qcs8550  QNN2.36  Qualcomm QCS8550
GoogLeNet                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
Granite-3.1-8b-Instruct                      W4A16      qcs8550  QNN2.31  Qualcomm QCS8550
Grounding-DINO-Tiny                          FP16       qcs8550  QNN2.36  Qualcomm QCS8550
HRNetFace                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
HRNET-Posenet                                FP16       qcs8550  QNN2.36  Qualcomm QCS8550
HRNET-Posenet                                INT8       qcs8550  QNN2.36  Qualcomm QCS8550
HRNET-Posenet                                W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
HY-MT1.5-1.8B                                W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Inception-v3                                 INT8       qcs8550  QNN2.16  Qualcomm QCS8550
Inception-v3                                 FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Inception-v3                                 W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
InternVL3-2B-Instruct                        W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
LeViT                                        FP16       qcs8550  QNN2.36  Qualcomm QCS8550
LightGlue                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Lightweight-Face-Detection                   INT8       qcs8550  QNN2.31  Qualcomm QCS8550
Lightweight-Face-Detection                   W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
Lightweight-Face-Detection                   FP16       qcs8550  QNN2.36  Qualcomm QCS8550
LiteHRNet                                    INT8       qcs8550  QNN2.31  Qualcomm QCS8550
LiteHRNet                                    W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
LiteHRNet                                    FP16       qcs8550  QNN2.31  Qualcomm QCS8550
Llama-2-7B-Chat                              W4A16      qcs8550  QNN2.25  Qualcomm QCS8550
Llava-1.5-7B                                 W4A16      qcs8550  QNN2.28  Qualcomm QCS8550
LocateAnything-3B (504x336)                  W4A16      qcs8550  QNN2.40  Qualcomm QCS8550
Mask2Former                                  FP16       qcs8550  QNN2.36  Qualcomm QCS8550
MediaPipe-Face-Detection                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
MediaPipe-Face-Detection                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
MediaPipe-Hand                               FP16       qcs8550  QNN2.16  Qualcomm QCS8550
MediaPipe-Hand                               INT8       qcs8550  QNN2.16  Qualcomm QCS8550
MediaPipe-Hand                               W8A16      qcs8550  QNN2.16  Qualcomm QCS8550
MediaPipe-Pose (Full)                        FP16       qcs8550  QNN2.36  Qualcomm QCS8550
MediaPipe-Pose (Full)                        INT8       qcs8550  QNN2.36  Qualcomm QCS8550
MediaPipe-Pose (Full)                        W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
MediaPipe-Selfie-Segmentation                FP16       qcs8550  QNN2.36  Qualcomm QCS8550
MediaPipe-Selfie-Segmentation                INT8       qcs8550  QNN2.36  Qualcomm QCS8550
MediaPipe-Selfie-Segmentation                W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
MeloTTS-Chinese                              FP16       qcs8550  QNN2.31  Qualcomm QCS8550
MeloTTS-English                              FP16       qcs8550  QNN2.31  Qualcomm QCS8550
MeloTTS-French                               FP16       qcs8550  QNN2.31  Qualcomm QCS8550
MeloTTS-Japanese                             FP16       qcs8550  QNN2.31  Qualcomm QCS8550
MeloTTS-Korean                               FP16       qcs8550  QNN2.31  Qualcomm QCS8550
MeloTTS-Spanish                              FP16       qcs8550  QNN2.31  Qualcomm QCS8550
Meta-Llama-3.1-8B-Instruct                   W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Meta-Llama-3.2-1B-Instruct                   W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Meta-Llama-3.2-3B-Instruct                   W4A16      qcs8550  QNN2.32  Qualcomm QCS8550
Midas-v2                                     INT8       qcs8550  QNN2.16  Qualcomm QCS8550
Midas-v2                                     W8A16      qcs8550  QNN2.16  Qualcomm QCS8550
Midas-v2                                     FP16       qcs8550  QNN2.16  Qualcomm QCS8550
MiniCPM-1B-sft                               W4A16      qcs8550  QNN2.28  Qualcomm QCS8550
Mistral-7B-Instruct-v0.3                     W4A16      qcs8550  QNN2.25  Qualcomm QCS8550
MMS-TTS-eng                                  FP16       qcs8550  QNN2.36  Qualcomm QCS8550
MNASNet                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
MobileClip2-S3                               FP16       qcs8550  QNN2.36  Qualcomm QCS8550
MobileClip-S2                                FP16       qcs8550  QNN2.36  Qualcomm QCS8550
MobileNet-v2                                 FP16       qcs8550  QNN2.36  Qualcomm QCS8550
MobileNet-v2                                 W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
MobileNet-v3-Large                           FP16       qcs8550  QNN2.36  Qualcomm QCS8550
MobileNet-v3-Large                           W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
MobileNet-v3-Small                           FP16       qcs8550  QNN2.36  Qualcomm QCS8550
MobileSAM                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
NanoDet-Plus-m                               FP16       qcs8550  QNN2.36  Qualcomm QCS8550
NanoDet-Plus-m                               W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
NASNet                                       FP16       qcs8550  TFLite   Qualcomm QCS8550
NASNet                                       FP16       qcs8550  QNN2.31  Qualcomm QCS8550
NASNet                                       W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
Nomic-Embed-Text                             FP16       qcs8550  QNN2.36  Qualcomm QCS8550
OpenAI-CLIP (ViT-B/16)                       FP16       qcs8550  QNN2.36  Qualcomm QCS8550
OpenPose                                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
OpenPose                                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
OpenPose                                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
opus-mt-en-es                                FP16       qcs8550  QNN2.36  Qualcomm QCS8550
opus-mt-en-zh                                FP16       qcs8550  QNN2.36  Qualcomm QCS8550
opus-mt-es-en                                FP16       qcs8550  QNN2.36  Qualcomm QCS8550
opus-mt-zh-en                                FP16       qcs8550  QNN2.36  Qualcomm QCS8550
OWL-ViT                                      W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
OWL-ViT                                      FP16       qcs8550  QNN2.31  Qualcomm QCS8550
Person-Foot-Detection                        INT8       qcs8550  QNN2.29  Qualcomm QCS8550
Person-Foot-Detection                        W8A16      qcs8550  QNN2.29  Qualcomm QCS8550
Person-Foot-Detection                        FP16       qcs8550  QNN2.29  Qualcomm QCS8550
Phi-2                                        W4A16      qcs8550  QNN2.29  Qualcomm QCS8550
Phi-3.5-mini-instruct                        W4A16      qcs8550  QNN2.29  Qualcomm QCS8550
Phi-4-mini-instruct                          W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Phi-4-reasoning (14B)                        W4A16      qcs8550  QNN2.41  Qualcomm QCS8550
PidNet                                       FP16       qcs8550  QNN2.36  Qualcomm QCS8550
PidNet                                       INT8       qcs8550  QNN2.36  Qualcomm QCS8550
PidNet                                       W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
Posenet-Mobilenet                            FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Posenet-Mobilenet                            INT8       qcs8550  QNN2.36  Qualcomm QCS8550
Posenet-Mobilenet                            W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
PPE-Detection                                FP16       qcs8550  QNN2.36  Qualcomm QCS8550
PPE-Detection                                INT8       qcs8550  QNN2.36  Qualcomm QCS8550
PPE-Detection                                W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
PP-HumanSegV2-Lite                           FP16       qcs8550  QNN2.31  Qualcomm QCS8550
PP-HumanSegV2-Lite                           INT8       qcs8550  QNN2.36  Qualcomm QCS8550
PP-HumanSegV2-Lite                           W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
PP-LCNet-0.25x                               FP16       qcs8550  QNN2.31  Qualcomm QCS8550
PP-OCRv5_mobile                              FP16       qcs8550  QNN2.36  Qualcomm QCS8550
PP-OCRv6-Small                               FP16       qcs8550  QNN2.40  Qualcomm QCS8550
QuickSRNetLarge                              FP16       qcs8550  QNN2.31  Qualcomm QCS8550
QuickSRNetLarge                              INT8       qcs8550  QNN2.31  Qualcomm QCS8550
QuickSRNetLarge                              W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
QuickSRNetMedium                             FP16       qcs8550  QNN2.31  Qualcomm QCS8550
QuickSRNetMedium                             INT8       qcs8550  QNN2.31  Qualcomm QCS8550
QuickSRNetMedium                             W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
QuickSRNetSmall                              FP16       qcs8550  QNN2.31  Qualcomm QCS8550
QuickSRNetSmall                              INT8       qcs8550  QNN2.31  Qualcomm QCS8550
QuickSRNetSmall                              W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
Qwen1.5-0.5B-Chat                            W4A16      qcs8550  QNN2.25  Qualcomm QCS8550
Qwen1.5-1.8B-Chat                            W4A16      qcs8550  QNN2.25  Qualcomm QCS8550
Qwen1.5-7B-Chat                              W4A16      qcs8550  QNN2.25  Qualcomm QCS8550
Qwen2-0.5B-Instruct                          W4A16      qcs8550  QNN2.28  Qualcomm QCS8550
Qwen2-1.5B-Instruct                          W4A16      qcs8550  QNN2.28  Qualcomm QCS8550
Qwen2.5-0.5B-Instruct                        W4A16      qcs8550  QNN2.29  Qualcomm QCS8550
Qwen2.5-1.5B-Instruct                        W4A16      qcs8550  QNN2.29  Qualcomm QCS8550
Qwen2.5-3B-Instruct                          W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen2.5-7B-Instruct                          W4A16      qcs8550  QNN2.29  Qualcomm QCS8550
Qwen2.5-Omni-3B                              W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen2.5-VL-3B-Instruct (392x392)             W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen2.5-VL-3B-Instruct (504x336)             W4A16      qcs8550  QNN2.40  Qualcomm QCS8550
Qwen2.5-VL-3B-Instruct (672x672)             W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen2.5-VL-7B-Instruct (392x392)             W4A16      qcs8550  QNN2.25  Qualcomm QCS8550
Qwen2.5-VL-7B-Instruct (504x336)             W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen2-7B-Instruct                            W4A16      qcs8550  QNN2.25  Qualcomm QCS8550
Qwen3-0.6B                                   W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen3-14B                                    W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen3-1.7B                                   W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen3-4B                                     W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen3-4B (no-prefixquant)                    W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen3-8B                                     W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen3-8B-CL16384                             W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen3-8B-CL8192                              W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen3-8B-CL8192-SSD                          W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Real-ESRGAN-General-x4v3                     FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Real-ESRGAN-General-x4v3                     INT8       qcs8550  QNN2.36  Qualcomm QCS8550
Real-ESRGAN-General-x4v3                     W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
Real-ESRGAN-x4plus                           FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Real-ESRGAN-x4plus                           INT8       qcs8550  QNN2.36  Qualcomm QCS8550
Real-ESRGAN-x4plus                           W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
RegNet                                       FP16       qcs8550  QNN2.36  Qualcomm QCS8550
RegNet                                       INT8       qcs8550  QNN2.36  Qualcomm QCS8550
RegNet                                       W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
ResNet-101                                   FP16       qcs8550  QNN2.36  Qualcomm QCS8550
ResNet-101                                   W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
ResNet-18                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
ResNet-18                                    INT8       qcs8550  QNN2.36  Qualcomm QCS8550
ResNet-18                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
ResNet-34                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
ResNet-34                                    INT8       qcs8550  QNN2.36  Qualcomm QCS8550
ResNet-34                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
ResNet-50                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
ResNet-50                                    INT8       qcs8550  QNN2.36  Qualcomm QCS8550
ResNet-50                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
ResNeXt-101                                  FP16       qcs8550  QNN2.36  Qualcomm QCS8550
ResNeXt-101                                  INT8       qcs8550  QNN2.36  Qualcomm QCS8550
ResNeXt-101                                  W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
ResNeXt-50                                   FP16       qcs8550  QNN2.36  Qualcomm QCS8550
ResNeXt-50                                   INT8       qcs8550  QNN2.36  Qualcomm QCS8550
ResNeXt-50                                   W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
RTMDet                                       FP16       qcs8550  QNN2.36  Qualcomm QCS8550
RTMPose_Body2d                               FP16       qcs8550  QNN2.36  Qualcomm QCS8550
SalsaNext                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
SAM2-tiny                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
SAM2-Unet-large                              W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
SAM2-Unet-large                              FP16       qcs8550  QNN2.36  Qualcomm QCS8550
